workload,batch,sm_count,block_mean,block_std,block_max,block_min,elapsed_sum_mean,elapsed_sum_std,block_cv,elapsed_sum_cv,block_imbalance_ratio,jain_block_fairness
compute,8,128,32.0,0.0,32,32,15941251.859375,96448.22434777317,0.0,0.006050229003254363,0.0,1.0
compute,16,128,64.0,7.873007809503554,72,48,39622039.9765625,5330350.843920928,0.12301574702349304,0.1345299446235977,0.375,0.985207456404089
compute,32,128,128.0,0.0,128,128,90805558.3515625,80149.8165167169,0.0,0.0008826531984574022,0.0,1.0
compute,64,128,256.0,0.0,256,256,192188452.5,81153.30246920051,0.0,0.0004222589932618377,0.0,1.0
compute,128,128,512.0,0.0,512,512,717330249.078125,98776.26609805298,0.0,0.00013769984776885544,0.0,1.0
memory,8,128,32.0,0.0,32,32,58467.703125,3896.708375429161,0.0,0.06664719438521917,0.0,1.0
memory,16,128,64.0,6.558038884891442,79,48,131578.875,14040.26784184924,0.10246935757642878,0.10670609428640608,0.484375,0.9896894761680037
memory,32,128,128.0,5.334481503706402,143,115,277839.8671875,10518.198398449758,0.04167563674770627,0.03785705235509475,0.21875,0.9982796751280247
memory,64,128,256.0,8.895721346114504,276,238,571662.8125,19328.616716394703,0.03474891150825978,0.03381121929528117,0.1484375,0.9988033802543216
memory,128,128,512.0,13.786333527301078,542,485,1169983.1640625,26927.33457334446,0.02692643267050992,0.02301514705548875,0.111328125,0.9992811486611848
mixed,8,128,32.0,0.0,32,32,2439157.78125,114855.65999133996,0.0,0.047088245325597446,0.0,1.0
mixed,16,128,64.0,6.3580812239537945,72,54,5025320.65625,337218.79360820603,0.09934501912427804,0.06710393558445,0.28125,0.9903026319268938
mixed,32,128,128.0,5.8538633854432485,141,118,10018196.78125,276070.2231372276,0.04573330769877538,0.0275568776662402,0.1796875,0.9979291022048971
mixed,64,128,256.0,4.5696706406238485,268,245,19940895.9921875,157173.64362473617,0.01785027593993691,0.007881974996826326,0.08984375,0.9996839568789431
mixed,128,128,512.0,4.857010518940893,523,502,39576913.0703125,162632.22844013528,0.009486348669806431,0.004109270173527739,0.041015625,0.9999107202137184
sparse,8,128,32.0,0.0,32,32,157820.0546875,4668.315824232665,0.0,0.02957999117080787,0.0,1.0
sparse,16,128,64.0,4.150704332603436,72,54,356759.296875,18288.201394823634,0.06485475519692868,0.051262017710589296,0.28125,0.9958440650665937
sparse,32,128,128.0,5.429577788431612,141,117,613096.7421875,15801.49895672764,0.042418576472121966,0.02577325545777432,0.1875,0.9982179032184363
sparse,64,128,256.0,4.932616816803971,268,242,1174856.34375,9463.689849416178,0.01926803444064051,0.008055188959706527,0.1015625,0.9996317789319873
sparse,128,128,512.0,6.017036181497392,525,497,2166967.46875,11841.826996422053,0.011752023791987094,0.005464699939982453,0.0546875,0.9998629876966051
vgg16,8,128,30.0,0.0,30,30,6350802.4375,17505.848368878305,0.0,0.0027564781838449854,0.0,1.0
vgg16,16,128,60.0,2.6022401010104823,66,55,13182834.0546875,540646.2768174513,0.0433706683501747,0.041011384545587184,0.18333333333333332,0.9981371572152666
vgg16,32,128,120.0,2.084815745554847,126,116,26551794.9609375,1227359.089900682,0.017373464546290393,0.046225089177825814,0.08333333333333333,0.9997006104942531
vgg16,64,128,240.0,0.7317329231804061,243,238,48543139.734375,181762.02546643553,0.0030488871799183585,0.0037443401160498864,0.020833333333333332,0.9999907769947868
vgg16,128,128,480.0,3.035226256013944,487,473,187815979.734375,926190.0925828099,0.006323388033362383,0.004931370024492618,0.029166666666666667,0.9999603287223102
