workload,batch,records,sched_event_count,sched_event_ratio,sched_mean,sched_p50,sched_p75,sched_p95,sched_p99,sched_max,sched_iqr,sched_tail_amp
compute,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
compute,16,8192,2048,0.25,528.68994140625,495.0,583.0,961.6499999999999,1309.8299999999997,1814,88.0,2.6461212121212117
compute,32,16384,10240,0.625,531.01796875,496.5,525.0,790.0499999999993,1451.6100000000006,2991,28.5,2.9236858006042308
compute,64,32768,26624,0.8125,580.9673227163462,503.0,553.0,1094.0,1775.3100000000013,3295,50.0,3.529443339960241
compute,128,65536,59392,0.90625,849.3029700969828,507.0,587.0,1643.0,3449.2699999999895,299355,80.0,6.8032938856015575
memory,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
memory,16,8192,2045,0.2496337890625,372.96625916870414,336.0,526.0,915.8,1242.0,1468,190.0,3.6964285714285716
memory,32,16384,10227,0.62420654296875,710.6406570841889,446.0,838.0,2789.7999999999956,3826.74,5359,392.0,8.580134529147982
memory,64,32768,26582,0.81121826171875,647.5578210819351,445.0,749.0,2204.7999999999884,3678.0,11310,304.0,8.265168539325842
memory,128,65536,59300,0.90484619140625,666.4273018549748,453.0,757.0,2261.0,3835.030000000006,11508,304.0,8.465849889624737
mixed,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
mixed,16,8192,2048,0.25,4340.978515625,3161.5,5331.75,13378.199999999999,14202.07,15406,2170.25,4.492193578997312
mixed,32,16384,10240,0.625,7075.7765625,4434.5,7840.5,28343.149999999983,30434.0,31332,3406.0,6.863005975871012
mixed,64,32768,26624,0.8125,7289.582068810096,6517.5,8149.25,20722.249999999993,29824.390000000003,35790,1631.75,4.576047564250096
mixed,128,65536,59389,0.9062042236328125,7291.537422755056,7445.0,8065.0,16106.0,26528.96000000002,39477,620.0,3.5633257219610504
sparse,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
sparse,16,8192,2048,0.25,394.77734375,432.0,524.0,905.2999999999997,1137.6499999999999,1366,92.0,2.6334490740740737
sparse,32,16384,10236,0.624755859375,489.74638530676043,449.0,594.0,1226.25,2119.7999999999956,3134,145.0,4.721158129175937
sparse,64,32768,26609,0.812042236328125,480.5914164380473,451.0,571.0,1076.5999999999985,1804.9199999999983,3099,120.0,4.0020399113082
sparse,128,65536,59371,0.9059295654296875,470.15002273837393,454.0,564.0,935.0,1372.0,3082,110.0,3.0220264317180616
vgg16,8,3840,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
vgg16,16,7680,1791,0.233203125,1868.9123394751537,1357.0,1901.0,5816.5,6197.1,6411,544.0,4.566764922623435
vgg16,32,15360,8960,0.5833333333333334,3307.5379464285716,1706.0,5155.5,8924.349999999995,15244.41,17864,3449.5,8.935762016412662
vgg16,64,30720,23807,0.7749674479166667,2070.2336707691015,1076.0,3406.5,5234.0,8569.399999999987,18308,2330.5,7.964126394052032
vgg16,128,61440,54508,0.8871744791666667,3930.4957437440376,1905.0,6219.0,9751.0,14577.320000000007,32876,4314.0,7.652136482939636
