workload,batch,records,sched_event_count,sched_event_ratio,sched_mean,sched_p50,sched_p75,sched_p95,sched_p99,sched_max,sched_iqr,sched_tail_amp,sm_count,block_mean,block_std,block_max,block_min,elapsed_sum_mean,elapsed_sum_std,block_cv,elapsed_sum_cv,block_imbalance_ratio,jain_block_fairness
compute,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,128,32.0,0.0,32,32,15941251.859375,96448.22434777317,0.0,0.006050229003254363,0.0,1.0
compute,16,8192,2048,0.25,528.68994140625,495.0,583.0,961.6499999999999,1309.8299999999997,1814,88.0,2.6461212121212117,128,64.0,7.873007809503555,72,48,39622039.9765625,5330350.843920928,0.12301574702349305,0.1345299446235977,0.375,0.985207456404089
compute,32,16384,10240,0.625,531.01796875,496.5,525.0,790.0499999999993,1451.6100000000006,2991,28.5,2.9236858006042308,128,128.0,0.0,128,128,90805558.3515625,80149.8165167169,0.0,0.0008826531984574022,0.0,1.0
compute,64,32768,26624,0.8125,580.9673227163462,503.0,553.0,1094.0,1775.3100000000013,3295,50.0,3.529443339960241,128,256.0,0.0,256,256,192188452.5,81153.30246920051,0.0,0.0004222589932618377,0.0,1.0
compute,128,65536,59392,0.90625,849.3029700969828,507.0,587.0,1643.0,3449.2699999999895,299355,80.0,6.8032938856015575,128,512.0,0.0,512,512,717330249.078125,98776.26609805298,0.0,0.00013769984776885544,0.0,1.0
memory,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,128,32.0,0.0,32,32,58467.703125,3896.708375429161,0.0,0.06664719438521917,0.0,1.0
memory,16,8192,2045,0.2496337890625,372.96625916870414,336.0,526.0,915.8,1242.0,1468,190.0,3.6964285714285716,128,64.0,6.558038884891442,79,48,131578.875,14040.26784184924,0.10246935757642878,0.10670609428640608,0.484375,0.9896894761680037
memory,32,16384,10227,0.62420654296875,710.6406570841889,446.0,838.0,2789.7999999999956,3826.74,5359,392.0,8.580134529147982,128,128.0,5.334481503706402,143,115,277839.8671875,10518.198398449758,0.04167563674770627,0.03785705235509475,0.21875,0.9982796751280247
memory,64,32768,26582,0.81121826171875,647.5578210819351,445.0,749.0,2204.7999999999884,3678.0,11310,304.0,8.265168539325842,128,256.0,8.895721346114504,276,238,571662.8125,19328.616716394703,0.03474891150825978,0.03381121929528117,0.1484375,0.9988033802543216
memory,128,65536,59300,0.90484619140625,666.4273018549748,453.0,757.0,2261.0,3835.030000000006,11508,304.0,8.465849889624737,128,512.0,13.786333527301078,542,485,1169983.1640625,26927.33457334446,0.02692643267050992,0.02301514705548875,0.111328125,0.9992811486611848
mixed,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,128,32.0,0.0,32,32,2439157.78125,114855.65999133994,0.0,0.04708824532559744,0.0,1.0
mixed,16,8192,2048,0.25,4340.978515625,3161.5,5331.75,13378.199999999999,14202.07,15406,2170.25,4.492193578997312,128,64.0,6.358081223953795,72,54,5025320.65625,337218.79360820603,0.09934501912427805,0.06710393558445,0.28125,0.9903026319268938
mixed,32,16384,10240,0.625,7075.7765625,4434.5,7840.5,28343.149999999983,30434.0,31332,3406.0,6.863005975871012,128,128.0,5.8538633854432485,141,118,10018196.78125,276070.2231372275,0.04573330769877538,0.027556877666240195,0.1796875,0.9979291022048971
mixed,64,32768,26624,0.8125,7289.582068810096,6517.5,8149.25,20722.249999999993,29824.390000000003,35790,1631.75,4.576047564250096,128,256.0,4.5696706406238485,268,245,19940895.9921875,157173.64362473617,0.01785027593993691,0.007881974996826326,0.08984375,0.9996839568789431
mixed,128,65536,59389,0.9062042236328125,7291.537422755056,7445.0,8065.0,16106.0,26528.96000000002,39477,620.0,3.5633257219610504,128,512.0,4.857010518940893,523,502,39576913.0703125,162632.2284401353,0.009486348669806431,0.00410927017352774,0.041015625,0.9999107202137184
sparse,8,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,128,32.0,0.0,32,32,157820.0546875,4668.315824232664,0.0,0.029579991170807864,0.0,1.0
sparse,16,8192,2048,0.25,394.77734375,432.0,524.0,905.2999999999997,1137.6499999999999,1366,92.0,2.6334490740740737,128,64.0,4.150704332603436,72,54,356759.296875,18288.201394823634,0.06485475519692868,0.051262017710589296,0.28125,0.9958440650665937
sparse,32,16384,10236,0.624755859375,489.74638530676043,449.0,594.0,1226.25,2119.7999999999956,3134,145.0,4.721158129175937,128,128.0,5.429577788431612,141,117,613096.7421875,15801.49895672764,0.042418576472121966,0.02577325545777432,0.1875,0.9982179032184363
sparse,64,32768,26609,0.812042236328125,480.5914164380473,451.0,571.0,1076.5999999999985,1804.9199999999983,3099,120.0,4.0020399113082,128,256.0,4.93261681680397,268,242,1174856.34375,9463.689849416178,0.019268034440640507,0.008055188959706527,0.1015625,0.9996317789319873
sparse,128,65536,59371,0.9059295654296875,470.15002273837393,454.0,564.0,935.0,1372.0,3082,110.0,3.0220264317180616,128,512.0,6.017036181497392,525,497,2166967.46875,11841.826996422053,0.011752023791987094,0.005464699939982453,0.0546875,0.9998629876966051
vgg16,8,3840,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,128,30.0,0.0,30,30,6350802.4375,17505.848368878305,0.0,0.0027564781838449854,0.0,1.0
vgg16,16,7680,1791,0.233203125,1868.9123394751537,1357.0,1901.0,5816.5,6197.1,6411,544.0,4.566764922623435,128,60.0,2.6022401010104823,66,55,13182834.0546875,540646.2768174515,0.0433706683501747,0.04101138454558719,0.18333333333333332,0.9981371572152666
vgg16,32,15360,8960,0.5833333333333334,3307.5379464285716,1706.0,5155.5,8924.349999999995,15244.41,17864,3449.5,8.935762016412662,128,120.0,2.084815745554847,126,116,26551794.9609375,1227359.089900682,0.017373464546290393,0.046225089177825814,0.08333333333333333,0.9997006104942531
vgg16,64,30720,23807,0.7749674479166667,2070.2336707691015,1076.0,3406.5,5234.0,8569.399999999987,18308,2330.5,7.964126394052032,128,240.0,0.7317329231804061,243,238,48543139.734375,181762.02546643556,0.0030488871799183585,0.003744340116049887,0.020833333333333332,0.9999907769947868
vgg16,128,61440,54508,0.8871744791666667,3930.4957437440376,1905.0,6219.0,9751.0,14577.320000000007,32876,4314.0,7.652136482939636,128,480.0,3.035226256013944,487,473,187815979.734375,926190.0925828099,0.006323388033362383,0.004931370024492618,0.029166666666666667,0.9999603287223102
