workload,batch,trace_count,kernel_run_count,sm_observed,block_count_total,sched_event_count,sched_event_ratio,sched_cycles_per_sm_mean,sched_cycles_per_sm_p95,sched_mean_cycles,sched_p95_cycles,sched_max_cycles,work_cycles_per_sm_mean,block_elapsed_mean_cycles,block_elapsed_p95_cycles,inferred_slot_count_mean,inferred_slot_count_max
compute,8,1,8,128,4096,0,0.0,0.0,0.0,0.0,0.0,0,1992656.482421875,498164.12060546875,589583.4175,4.0,4
compute,16,1,8,128,8192,2048,0.25,1057.3798828125,1834.85,528.68994140625,961.6499999999999,1814,4952754.9970703125,617740.1964828249,840213.77,6.0,6
compute,32,1,8,128,16384,10240,0.625,5310.1796875,6552.8499999999985,531.01796875,790.0499999999993,2991,11350694.793945312,709418.424621582,842219.925,6.0,6
compute,64,1,8,128,32768,26624,0.8125,15105.150390625,18045.399999999998,580.9673227163462,1094.0,3295,24023556.5625,750736.142578125,835550.7174999999,6.0,6
compute,128,1,8,128,65536,59392,0.90625,49259.572265625,115439.44999999997,849.3029700969828,1643.0,299355,89666281.13476562,1401035.642730713,7505290.5024999995,6.0,6
memory,8,1,8,128,4096,0,0.0,0.0,0.0,0.0,0.0,0,7308.462890625,1827.11572265625,2859.1849999999995,4.0,4
memory,16,1,8,128,8192,2048,0.25,744.83984375,1819.3999999999996,372.419921875,915.6499999999999,1468,16447.359375,2068.4736348910424,4379.214999999997,6.0,6
memory,32,1,8,128,16384,10238,0.6248779296875,7097.384765625,9281.3,709.8771244383669,2787.5999999999985,5359,34729.9833984375,2174.542504147632,3551.5,6.001953125,7
memory,64,1,8,128,32768,26620,0.8123779296875,16809.943359375,19845.95,646.6334335086401,2201.0,11310,71457.8515625,2234.3058547393816,3661.209999999999,6.00390625,7
memory,128,1,8,128,65536,59378,0.906036376953125,38592.9091796875,44087.549999999996,665.5518710633568,2260.149999999994,11508,146247.8955078125,2286.1366201128158,3476.769999999999,6.013671875,7
mixed,8,1,8,128,4096,0,0.0,0.0,0.0,0.0,0.0,0,304894.72265625,76223.6806640625,88362.93000000001,4.0,4
mixed,16,1,8,128,8192,2048,0.25,8681.95703125,14713.449999999995,4340.978515625,13378.199999999999,15406,628165.08203125,78789.08593168712,93983.48999999999,6.0,6
mixed,32,1,8,128,16384,10240,0.625,70757.765625,84851.95,7075.7765625,28343.149999999983,31332,1252274.59765625,78368.31034187877,93256.425,6.0,6
mixed,64,1,8,128,32768,26624,0.8125,189529.1337890625,203425.1,7289.582068810096,20722.249999999993,35790,2492611.9990234375,77938.2236340405,92680.73999999999,6.0,6
mixed,128,1,8,128,65536,59392,0.90625,422887.80859375,437878.1,7291.169113685345,16106.0,39477,4947114.1337890625,77316.20170156991,91955.87999999999,6.0,6
sparse,8,1,8,128,4096,0,0.0,0.0,0.0,0.0,0.0,0,19727.5068359375,4931.876708984375,5518.8324999999995,4.0,4
sparse,16,1,8,128,8192,2048,0.25,789.5546875,1545.85,394.77734375,905.2999999999997,1366,44594.912109375,5594.667162698413,7512.32,6.0,6
sparse,32,1,8,128,16384,10240,0.625,4895.55078125,5681.0,489.555078125,1226.0499999999993,3134,76637.0927734375,4797.764659903675,7232.5575,6.0,6
sparse,64,1,8,128,32768,26624,0.8125,12488.3369140625,13762.7,480.32065054086536,1075.8499999999985,3099,146857.04296875,4592.040522531059,7658.4625,6.0,6
sparse,128,1,8,128,65536,59392,0.90625,27259.0595703125,29070.449999999997,469.9837856950431,935.0,3082,270870.93359375,4233.295951427301,6913.622499999997,6.0,6
vgg16,8,1,9,128,3840,0,0.0,0.0,0.0,0.0,0.0,0,705644.7152777778,176937.48936631944,619629.495,3.3333333333333335,4
vgg16,16,1,9,128,7680,1792,0.23333333333333334,2905.574652777778,12041.8,1867.869419642857,5816.249999999999,6411,1464759.3394097222,184096.69166459987,657148.7124999999,5.111111111111111,6
vgg16,32,1,9,128,15360,8960,0.5833333333333334,25725.29513888889,70154.65000000001,3307.5379464285716,8924.349999999995,17864,2950199.4401041665,185387.91523394946,657604.0800000001,5.555555555555555,6
vgg16,64,1,9,128,30720,23808,0.775,42783.032118055555,98817.1,2070.1467153897847,5234.0,18308,5393682.192708333,169068.84111263425,632458.2125,6.0,6
vgg16,128,1,9,128,61440,54509,0.8871907552083333,185975.22743055556,489853.5,3930.423636463703,9751.0,32876,20868442.192708332,327713.3541355037,7351990.155,6.016493055555555,8
